Date,Activity Description,Duration,Value,Mood
10/10/23,Eating,0.5,Low,Energized
10/10/23,Class,2.5,High,Productive
10/10/23,Entertainment,0.5,Low,Satisfied
10/10/23,Class,2,High,Productive
10/10/23,Eating,0.5,Medium,Energized
10/10/23,Entertainment,1,Low,Satisfied
10/10/23,Household chores,0.5,Low,Stressed
10/10/23,Commute,1,Low,Stressed
10/10/23,Entertainment,0.5,Low,Satisfied
10/10/23,Class,2.5,High,Productive
10/10/23,Commute,1,Low,Stressed
10/10/23,Eating,1,Medium,Energized
10/10/23,School activities,1,High,Productive
10/10/23,Entertainment,1,Low,Satisfied
10/10/23,Sleeping,8,High,Relaxed
10/10/23,Free time,0.2,Low,Satisfied
10/10/23,Eating,0.2,Medium,Satisfied
10/10/23,Commute,0.45,Medium,Relaxed
10/10/23,Entertainment,0.5,Low,Satisfied
10/10/23,Class,2.3,High,Stressed
10/10/23,Commute,1.3,Medium,Relaxed
10/10/23,Eating,0.3,Low,Relaxed
10/10/23,School activities,2,Medium,Stressed
10/10/23,School activities,1.3,High,Stressed
10/10/23,Eating,0.2,Low,Stressed
10/10/23,Entertainment,1.3,Low,Satisfied
10/10/23,School activities,1.5,High,Stressed
10/10/23,Sleeping,7,Low,Energized
10/10/23,Sleeping,6.5,High,Satisfied
10/10/23,Eating,1.5,High,Energized
10/10/23,Duty hours,4,High,Productive
10/10/23,Eating,1,Medium,Energized
10/10/23,Entertainment,1,Medium,Relaxed
10/10/23,School activities,2.5,High,Productive
10/10/23,Class,1.5,High,Satisfied
10/10/23,Eating,1,High,Satisfied
10/10/23,School activities,3.5,High,Satisfied
10/10/23,Sleeping,1.5,High,Satisfied
10/11/23,Sleeping,6.5,High,Satisfied
10/11/23,Eating,1.5,High,Energized
10/11/23,Duty hours,4,High,Productive
10/11/23,Eating,0.5,Medium,Satisfied
10/11/23,Class,2.5,High,Productive
10/11/23,Class,2,High,Productive
10/11/23,Commute,1,Low,Relaxed
10/11/23,Eating,1.5,Medium,Satisfied
10/11/23,School activities,2.5,High,Satisfied
10/11/23,Sleeping,2,High,Satisfied
10/11/23,Entertainment,2,Low,Relaxed
10/11/23,Eating,1,Medium,Energized
10/11/23,Household chores,2,Medium,Productive
10/11/23,Eating,1,Medium,Energized
10/11/23,School activities,1,High,Productive
10/11/23,Entertainment,5,Low,Satisfied
10/11/23,Eating,1,Medium,Energized
10/11/23,Entertainment,1.5,Low,Satisfied
10/11/23,Sleeping,8.5,High,Relaxed
10/11/23,Free time,0.2,Low,Satisfied
10/11/23,Entertainment,0.35,Low,Stressed
10/11/23,Eating,0.2,Low,Stressed
10/11/23,Entertainment,1,Low,Stressed
10/11/23,Entertainment,2.1,Low,Stressed
10/11/23,Entertainment,2,Medium,Satisfied
10/11/23,Eating,0.3,Low,Stressed
10/11/23,School activities,5,High,Stressed
10/11/23,Eating,0.3,Medium,Stressed
10/11/23,Entertainment,1,Low,Stressed
10/11/23,Entertainment,1,Low,Stressed
10/11/23,Entertainment,0.5,Low,Relaxed
10/11/23,Sleeping,7,Medium,Stressed
10/12/23,Entertainment,1,Medium,Energized
10/12/23,Eating,0.5,Medium,Energized
10/12/23,Class,2.5,High,Productive
10/12/23,Class,2.5,High,Productive
10/12/23,Eating,1,Medium,Energized
10/12/23,School activities,1,High,Productive
10/12/23,Household chores,0.5,Low,Stressed
10/12/23,Commute,1,Low,Relaxed
10/12/23,Class,2.5,High,Productive
10/12/23,Commute,1.5,Low,Stressed
10/12/23,Eating,1,Medium,Energized
10/12/23,Entertainment,1,Low,Satisfied
10/12/23,Sleeping,8,High,Relaxed
10/12/23,Free time,0.3,Low,Satisfied
10/12/23,Eating,0.19,Medium,Satisfied
10/12/23,Commute,0.45,Low,Relaxed
10/12/23,Entertainment,0.4,Low,Stressed
10/12/23,Class,2.3,High,Satisfied
10/12/23,Commute,1.3,Medium,Relaxed
10/12/23,Eating,0.3,Low,Stressed
10/12/23,Class,2,High,Stressed
10/12/23,Free time,1.3,High,Stressed
10/12/23,Eating,0.2,Low,Satisfied
10/12/23,Entertainment,1.3,Low,Stressed
10/12/23,Eating,0.3,Low,Relaxed
10/12/23,School activities,2,High,Relaxed
10/12/23,Sleeping,0.03,Low,Stressed
10/12/23,Sleeping,7,Low,Relaxed
10/12/23,Sleeping,6.5,High,Satisfied
10/12/23,Eating,1.5,Low,Energized
10/12/23,Duty hours,4,High,Energized
10/12/23,Eating,1,Medium,Satisfied
10/12/23,Entertainment,1.5,Low,Relaxed
10/12/23,School activities,5,High,Productive
10/12/23,Eating,1.5,High,Satisfied
10/12/23,Entertainment,3.5,High,Satisfied
10/12/23,Sleeping,1,High,Satisfied
10/13/23,Commute,0.5,Low,Relaxed
10/13/23,Class,2.5,High,Productive
10/13/23,Entertainment,2,Low,Relaxed
10/13/23,Eating,0.5,Medium,Energized
10/13/23,Class,2.5,High,Productive
10/13/23,Entertainment,1,Low,Satisfied
10/13/23,Commute,2.5,Low,Stressed
10/13/23,Eating,1,Medium,Energized
10/13/23,School activities,2,High,Productive
10/13/23,Entertainment,2,Low,Satisfied
10/13/23,Entertainment,1,Low,Relaxed
10/13/23,Sleeping,8,High,Relaxed
10/13/23,Free time,0.3,Low,Satisfied
