Date,Activity Description,Duration,"Value (high, medium, low, none)",Mood
10/10/2023,Eating,0.5,Low,Energized
10/10/2023,Class,2.5,High,Productive
10/10/2023,Internet surfing,0.5,Low,Satisfied
10/10/2023,Class,2,High,Productive
10/10/2023,Eating,0.5,Medium,Energized
10/10/2023,Gaming,1,Low,Satisfied
10/10/2023,Household chores,0.5,Low,Stressed
10/10/2023,Commute,1,Low,Stressed
10/10/2023,Gaming,0.5,Low,Satisfied
10/10/2023,Class,2.5,High,Productive
10/10/2023,Commute,1,Low,Stressed
10/10/2023,Eating,1,Medium,Energized
10/10/2023,School activities,1,High,Productive
10/10/2023,Internet surfing,1,Low,Satisfied
10/10/2023,Sleeping,8,High,Relaxed
10/10/2023,Free time,0.2,Low,Satisfied
10/10/2023,Eating,0.2,Medium,Satisfied
10/10/2023,Commute,0.45,Medium,Relaxed
10/10/2023,Gaming,0.5,Low,Satisfied
10/10/2023,Class,2.3,High,Stressed
10/10/2023,Commute,1.3,Medium,Relaxed
10/10/2023,Eating,0.3,Low,Relaxed
10/10/2023,School activities,2,Medium,Stressed
10/10/2023,School activities,1.3,High,Stressed
10/10/2023,Eating,0.2,Low,Stressed
10/10/2023,Gaming,1.3,Low,Satisfied
10/10/2023,School activities,1.5,High,Stressed
10/10/2023,Sleeping,7,Low,Energized
10/10/2023,Sleeping,6.5,High,Satisfied
10/10/2023,Eating,1.5,High,Energized
10/10/2023,Duty hours,4,High,Productive
10/10/2023,Eating,1,Medium,Energized
10/10/2023,Internet surfing,1,Medium,Relaxed
10/10/2023,School activities,2.5,High,Productive
10/10/2023,Class,1.5,High,Satisfied
10/10/2023,Eating,1,High,Satisfied
10/10/2023,School activities,3.5,High,Satisfied
10/10/2023,Sleeping,1.5,High,Satisfied
10/11/2023,Sleeping,6.5,High,Satisfied
10/11/2023,Eating,1.5,High,Energized
10/11/2023,Duty hours,4,High,Productive
10/11/2023,Eating,0.5,Medium,Satisfied
10/11/2023,Class,2.5,High,Productive
10/11/2023,Class,2,High,Productive
10/11/2023,Commute,1,Low,Relaxed
10/11/2023,Eating,1.5,Medium,Satisfied
10/11/2023,School activities,2.5,High,Satisfied
10/11/2023,Sleeping,2,High,Satisfied
10/11/2023,Internet surfing,2,Low,Relaxed
10/11/2023,Eating,1,Medium,Energized
10/11/2023,Household chores,2,Medium,Productive
10/11/2023,Eating,1,Medium,Energized
10/11/2023,School activities,1,High,Productive
10/11/2023,Gaming,5,Low,Satisfied
10/11/2023,Eating,1,Medium,Energized
10/11/2023,Internet surfing,1.5,Low,Satisfied
10/11/2023,Sleeping,8.5,High,Relaxed
10/11/2023,Free time,0.2,None,Satisfied
10/11/2023,Internet surfing,0.35,Low,Stressed
10/11/2023,Eating,0.2,Low,Stressed
10/11/2023,Gaming,1,Low,Stressed
10/11/2023,Internet surfing,2.1,Low,Stressed
10/11/2023,Gaming,2,Medium,Satisfied
10/11/2023,Eating,0.3,Low,Stressed
10/11/2023,School activities,5,High,Stressed
10/11/2023,Eating,0.3,Medium,Stressed
10/11/2023,Gaming,1,Low,Stressed
10/11/2023,Internet surfing,1,Low,Stressed
10/11/2023,Gaming,0.5,Low,Relaxed
